# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -22915 9 5 1048579 19874367 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.html
DUPTYPE_FIRST_OCCURRENCE 8283 4 5 1048579 19510007 5 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 8 5 1048579 19758245 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 8 5 1048579 19758098 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 5 5 1048579 28906406 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 9 5 1048579 21383916 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 9 5 1048579 21384936 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 5 5 1048579 28906429 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 4 5 1048579 19506282 5 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_FIRST_OCCURRENCE 20063 8 6 1048579 21829131 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.085d5d450c9c.html
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 1048579 16840427 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.085d5d450c9c.txt
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 1048579 16906702 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.085d5d450c9c.html
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 1048579 16840423 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.txt
DUPTYPE_WITHIN_SAME_TREE -20063 8 6 1048579 21825710 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.txt
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 1048579 16906701 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.html
DUPTYPE_WITHIN_SAME_TREE -20063 8 6 1048579 21825924 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.html
DUPTYPE_WITHIN_SAME_TREE -20063 8 6 1048579 21829129 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.085d5d450c9c.txt
DUPTYPE_FIRST_OCCURRENCE 23045 9 7 1048579 20204161 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.88f1efb29dc2.html
DUPTYPE_WITHIN_SAME_TREE -23045 10 7 1048579 15978510 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.88f1efb29dc2.html
DUPTYPE_WITHIN_SAME_TREE -23045 10 7 1048579 15978509 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.html
DUPTYPE_WITHIN_SAME_TREE -23045 9 7 1048579 20202338 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.html
DUPTYPE_FIRST_OCCURRENCE 20037 8 9 1048579 21134879 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 8 9 1048579 19929284 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.xml
